Country/Region,Date,Type,Reference
Cape Verde,,,
East Timor,,,
Eritrea,,,
Uganda,18-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Uganda
Dominica,,,
Grenada,,,
Mozambique,,,
Syria,,,
Belize,,,
Laos,,,
Libya,,,
Diamond Princess,,,
Guinea-Bissau,,,
Mali,18-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mali
Saint Kitts and Nevis,,,
Burma,,,
