Date,Market Cap,Volume,Open,Close
22-08-2021,"$4,051,832,955","$292,862,021",$0.00000814,$0.00000822
21-08-2021,"$4,212,510,272","$347,709,370",$0.00000846,$0.00000814
20-08-2021,"$4,083,010,935","$336,681,522",$0.00000828,$0.00000846
19-08-2021,"$4,060,809,275","$453,890,957",$0.00000807,$0.00000828
18-08-2021,"$4,065,794,171","$620,577,459",$0.00000809,$0.00000807
17-08-2021,"$4,555,023,535","$918,750,038",$0.00000907,$0.00000809
16-08-2021,"$4,257,873,519","$463,677,844",$0.00000856,$0.00000907
15-08-2021,"$4,043,981,858","$605,789,097",$0.00000812,$0.00000856
14-08-2021,"$4,042,925,462","$376,586,698",$0.00000813,$0.00000812
13-08-2021,"$3,820,998,224","$420,230,627",$0.00000766,$0.00000813
12-08-2021,"$3,881,457,369","$526,920,363",$0.00000781,$0.00000766
11-08-2021,"$3,767,216,615","$336,635,512",$0.00000760,$0.00000781
10-08-2021,"$3,771,144,634","$476,934,203",$0.00000764,$0.00000760
09-08-2021,"$3,665,594,787","$961,887,564",$0.00000736,$0.00000764
08-08-2021,"$3,846,338,342","$714,516,636",$0.00000779,$0.00000736
07-08-2021,"$3,139,665,053","$246,719,941",$0.00000631,$0.00000779
06-08-2021,"$3,085,192,303","$227,932,368",$0.00000620,$0.00000631
05-08-2021,"$3,099,748,228","$199,716,998",$0.00000623,$0.00000620
04-08-2021,"$3,094,457,855","$207,462,429",$0.00000621,$0.00000623
03-08-2021,"$3,168,951,560","$229,176,268",$0.00000635,$0.00000621
02-08-2021,"$3,124,383,681","$292,507,597",$0.00000628,$0.00000635
01-08-2021,"$3,117,520,010","$204,747,118",$0.00000626,$0.00000628
31-07-2021,"$3,127,280,109","$232,242,191",$0.00000627,$0.00000626
30-07-2021,"$3,133,311,030","$240,463,055",$0.00000628,$0.00000627
29-07-2021,"$3,078,449,385","$220,685,996",$0.00000619,$0.00000628
28-07-2021,"$3,122,554,744","$247,310,590",$0.00000630,$0.00000619
27-07-2021,"$3,158,891,059","$489,649,431",$0.00000634,$0.00000630
26-07-2021,"$3,190,860,707","$248,512,433",$0.00000642,$0.00000634
25-07-2021,"$3,209,836,003","$305,629,254",$0.00000646,$0.00000642
24-07-2021,"$3,220,652,740","$276,982,073",$0.00000648,$0.00000646
23-07-2021,"$3,230,482,083","$272,604,833",$0.00000649,$0.00000648
22-07-2021,"$3,271,058,296","$416,543,345",$0.00000659,$0.00000649
21-07-2021,"$2,947,395,870","$309,617,747",$0.00000593,$0.00000659
20-07-2021,"$3,112,136,233","$296,262,638",$0.00000623,$0.00000593
19-07-2021,"$3,327,722,658","$258,783,570",$0.00000669,$0.00000623
18-07-2021,"$3,392,932,522","$261,018,710",$0.00000680,$0.00000669
17-07-2021,"$3,284,921,838","$259,139,921",$0.00000662,$0.00000680
16-07-2021,"$3,430,383,106","$316,418,422",$0.00000689,$0.00000662
15-07-2021,"$3,591,291,338","$381,094,633",$0.00000722,$0.00000689
14-07-2021,"$3,540,003,559","$308,187,905",$0.00000710,$0.00000722
13-07-2021,"$3,778,444,197","$375,150,498",$0.00000760,$0.00000710
12-07-2021,"$3,911,934,655","$294,725,189",$0.00000786,$0.00000760
11-07-2021,"$3,842,457,119","$297,561,145",$0.00000771,$0.00000786
10-07-2021,"$3,957,714,419","$318,390,418",$0.00000797,$0.00000771
09-07-2021,"$4,012,522,713","$463,144,916",$0.00000806,$0.00000797
08-07-2021,"$4,263,199,013","$389,480,584",$0.00000856,$0.00000806
07-07-2021,"$4,330,611,037","$666,514,552",$0.00000870,$0.00000856
06-07-2021,"$4,181,334,273","$411,327,043",$0.00000838,$0.00000870
05-07-2021,"$4,367,429,849","$377,026,515",$0.00000875,$0.00000838
